Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
ENVS - Environmental Services,CAC - Parks & Cemeteries,2 Foxhill Bank 01/04/2024 - 31/03/2025,1,CRINV0000802,"Water Plus - 4035576019 - 2 Foxhill Bank, Osw",09/04/2024,£309.25
ENVS - Environmental Services,CAC - Parks & Cemeteries,On call Charges ,1,CRINV0000848,James O Garnett Ltd,09/04/2024,"£1,680.00"
ENVS - Environmental Services,CAD - Town Centre & Markets,Period:1.3.24 to 25.3.24,1,CRINV0000864,Water Plus - 4083296151 Market Hall,09/04/2024,"£1,284.59"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Oak Trent Urn,1,CRINV0000888,Luke Howgate & Son Ltd,09/04/2024,£295.80
ENVS - Environmental Services,CAC - Parks & Cemeteries,Service Agreement - 10.12.23 TO 9.2.24,1,CRINV0000895,Facultatieve Technologies,09/04/2024,"£13,288.46"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Charges - Feb 24,1,CRINV0000896,Minster Cleaning Services,09/04/2024,"£1,346.28"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Baxenden - Bench and fixing kit,1,CRINV0000929,Ark Plastics Ltd,09/04/2024,£906.00
REGN - Regeneration & Housing,FAB - Facilities,Home Impr Advice Agency - Jan-Mar 24,1,CRINV0000936,Hyndburn Homewise Society Limited,09/04/2024,"£6,233.13"
ENVS - Environmental Services,CAD - Town Centre & Markets,Period 01.02.24 - 29.02.24,1,CRINV0000958,E-On Next Energy - A-1B775153 Stall 41-44 Market H,09/04/2024,£82.39
ENVS - Environmental Services,CAD - Town Centre & Markets,Period 01.02.24 - 29.02.24,2,CRINV0000958,E-On Next Energy - A-1B775153 Stall 41-44 Market H,09/04/2024,£194.53
RESO - Resources,AAG - Management Resources,Wilsons Leisure Centre- Valuation 13,1,CRINV0000969,Alliance Leisure Services Limited,09/04/2024,"£812,654.76"
RESO - Resources,AAB - Benefits & Customer Contact,nformation & work software support  - 1.4.24 to 31.3.25,1,CRINV0000980,Nec Software Solutions Uk Ltd,09/04/2024,£407.43
RESO - Resources,AAB - Benefits & Customer Contact,Information @ work software support - 1.4.24 to 31.3.25,2,CRINV0000980,Nec Software Solutions Uk Ltd,09/04/2024,£407.43
RESO - Resources,AAB - Benefits & Customer Contact,Information @ work software support - 1.4.24 to 31.3.25,3,CRINV0000980,Nec Software Solutions Uk Ltd,09/04/2024,£203.71
ENVS - Environmental Services,CAA - Environmental Maintenance,Annual hardware support - 1.6.24 to 31.5.25,1,CRINV0000984,Triscan Systems Limited,09/04/2024,£896.10
ENVS - Environmental Services,CAD - Town Centre & Markets,01/04/2024 - 31/03/2035 - Water Bill - Unit 3 - Market Hall,1,CRINV0001002,"Water Plus - 6000330750 - Market Hall, BB5 1HD",09/04/2024,"£4,229.51"
REGN - Regeneration & Housing,FAB - Facilities,Various work carried out ,1,CRINV0001030,Mercers Builders Ltd,09/04/2024,"£11,211.00"
RESO - Resources,AAB - Benefits & Customer Contact,Legal Fees,1,CRINV0001033,Farleys Solicitors LLP,09/04/2024,£322.98
RESO - Resources,AAB - Benefits & Customer Contact,Legal Fees,2,CRINV0001033,Farleys Solicitors LLP,09/04/2024,£645.96
RESO - Resources,AAG - Management Resources,Community Chest Grant,1,CRINV0001053,Accrington Stanley Football In The Community,09/04/2024,"£2,000.00"
RESO - Resources,AAG - Management Resources,Community Chest Grant,1,CRINV0001056,Oswaldtwistle Carnival,09/04/2024,"£1,500.00"
ENVS - Environmental Services,CAF - CVMU,Repairs & new parts/tyres,1,CRINV0001069,Rossendale Vulcanising (Sales Ltd),09/04/2024,£984.00
RESO - Resources,AAB - Benefits & Customer Contact,Legal Fees,1,CRINV0001078,Farleys Solicitors LLP,09/04/2024,"£5,094.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp staff W/E 17.3.24,1,CRINV0000741,Proman Supply Chain Ltd,11/04/2024,"£1,473.27"
ENVS - Environmental Services,CAA - Environmental Maintenance,Legal Advice,1,CRINV0000805,Womble Bond Dickinson (Uk) LLP,11/04/2024,"£3,131.10"
ENVS - Environmental Services,CAA - Environmental Maintenance,Legal Advice,2,CRINV0000805,Womble Bond Dickinson (Uk) LLP,11/04/2024,"£3,131.10"
