Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
LEGL - Legal & Democratic,DAC - Legal,Local Authority Fee 1-5,1,CRINV0001047,Lawyers In Local Government (LLG),03/05/2024,345.00
REGN - Regeneration & Housing,FAB - Facilities,"Damage to war memorial, Osw",1,CRINV0001270,Pilkington Bros (Church) Ltd,03/05/2024,"3,553.12"
REGN - Regeneration & Housing,FAB - Facilities,Reapirs to chapel disabled WC door,1,CRINV0001271,Pilkington Bros (Church) Ltd,03/05/2024,898.16
REGN - Regeneration & Housing,FAB - Facilities,Water main Installation - Dill Hall Cem,1,CRINV0001276,Pilkington Bros (Church) Ltd,03/05/2024,"6,679.99"
REGN - Regeneration & Housing,FAB - Facilities, Gatty Park Shelter - Roof Repair,1,CRINV0001297,George Pearce & Sons Ltd,03/05/2024,508.80
ENVS - Environmental Services,CAC - Parks & Cemeteries,Landscape Architects Professional Fees,1,CRINV0001327,Lancashire County Council,03/05/2024,"18,889.20"
RESO - Resources,AAF - Finance,Consultancy - Oct-Dec 23,1,CRINV0001343,Hyndburn Leisure,03/05/2024,"8,624.40"
RESO - Resources,AAF - Finance,Consultancy - Jan-Mar 24,1,CRINV0001344,Hyndburn Leisure,03/05/2024,"9,504.00"
RESO - Resources,AAF - Finance,Collection fund closedown,1,CRINV0001346,LG Futures Limited,03/05/2024,"5,394.00"
ENVS - Environmental Services,CAF - CVMU,Hopper Welding ,1,CRINV0001365,Monks Contractors Limited,03/05/2024,"1,944.00"
ENVS - Environmental Services,CAF - CVMU,Supply of and welding of hardox plate to hopper.,1,CRINV0001377,Monks Contractors Limited,03/05/2024,"1,944.00"
ENVS - Environmental Services,CAD - Town Centre & Markets,Subscription to Huq Community Vision,1,CRINV0001385,Huq Industries Ltd,03/05/2024,"18,000.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Kopman Racer and Junior Spica,1,CRINV0001390,Kompan Ltd,03/05/2024,"1,732.08"
RESO - Resources,AAB - Benefits & Customer Contact,Court Costs,1,CRINV0001417,HM Courts & Tribunals Service,03/05/2024,436.00
REGN - Regeneration & Housing,FAC - Haworth Art Gallery,"Modes Complete - two user Licence, Support  01.04.24 - 31.03.25.",1,CRINV0001459,Modes Users Association,03/05/2024,324.00
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/e 14.04.24,1,CRINV0001466,G2 Recruitment Solutions,03/05/2024,"1,938.89"
ENVS - Environmental Services,CAF - CVMU,Renewable Diesel HVO,1,CRINV0001505,Certas Energy,03/05/2024,"27,335.77"
ENVS - Environmental Services,CAA - Environmental Maintenance,Lone working monitoring year ended March 25,1,CRINV0001510,Sector Security Services,03/05/2024,"3,242.16"
REGN - Regeneration & Housing,FAD - Housing Advice,"Room 25, 17 Nights stay",1,CRINV0001523,Hotel 99,03/05/2024,"3,485.00"
RESO - Resources,AAF - Finance,LCC Ctax Precept Apr 24,1,CRINV0001547,Lancashire County Council (Direct Debit Payments),03/05/2024,"3,652,946.55"
RESO - Resources,AAF - Finance,LCC Ctax Deficit 23-24 Apr 24,2,CRINV0001547,Lancashire County Council (Direct Debit Payments),03/05/2024,"106,392.99-"
RESO - Resources,AAF - Finance,LCC NDR Precept Apr 24,3,CRINV0001547,Lancashire County Council (Direct Debit Payments),03/05/2024,"211,191.93"
RESO - Resources,AAF - Finance,LCC NDR Surplus 23-24 Apr 24,4,CRINV0001547,Lancashire County Council (Direct Debit Payments),03/05/2024,"15,919.11"
RESO - Resources,AAF - Finance,Fire Ctax Precept Apr 24,5,CRINV0001547,Lancashire County Council (Direct Debit Payments),03/05/2024,"187,211.00"
RESO - Resources,AAF - Finance,Fire Ctax deficit 23-24 Apr 24,6,CRINV0001547,Lancashire County Council (Direct Debit Payments),03/05/2024,"5,554.94-"
RESO - Resources,AAF - Finance,Fire NDR Precept Apr 24,7,CRINV0001547,Lancashire County Council (Direct Debit Payments),03/05/2024,"23,467.77"
RESO - Resources,AAF - Finance,Fire NDR Surplus 23-24,8,CRINV0001547,Lancashire County Council (Direct Debit Payments),03/05/2024,"1,770.79"
RESO - Resources,AAF - Finance,Police Ctax Precept Apr 24,9,CRINV0001547,Lancashire County Council (Direct Debit Payments),03/05/2024,"581,985.00"
RESO - Resources,AAF - Finance,Police Ctax Deficit 23-24,10,CRINV0001547,Lancashire County Council (Direct Debit Payments),03/05/2024,"16,992.00-"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Machinery for felling 175 Ash Trees in high risk area ,1,CRINV0001552,Westfield Tree Services,03/05/2024,"4,854.00"
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Subsistance charges ,1,CRINV0001562,Environment Agency,03/05/2024,"3,002.95"
PLAN - Planning & Transportation,EAA - Building Control,Temp Staff W/C 18.4.24,1,CRINV0001568,BRG Interim Solutions,03/05/2024,"1,871.30"
PLAN - Planning & Transportation,EAD - Planning,Temp staff W/E 21.4.24,1,CRINV0001571,Macdonald & Company,03/05/2024,"1,558.00"
PLAN - Planning & Transportation,EAD - Planning,Planning Application refund,1,CRINV0001572,Portal Plan Quest Ltd,03/05/2024,924.00
