Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
ENVS - Environmental Services,CAD - Town Centre & Markets,Various Parts,1,CRINV0002458,City B Group Ltd,02/07/2024,"23,803.20"
LEGL - Legal & Democratic,DAD - Management Legal & Dem,Searches - May 24,1,CRINV0002491,Lancashire County Council,02/07/2024,519.30
ENVS - Environmental Services,CAD - Town Centre & Markets,Balance for Acc Food Festival,1,CRINV0002525,Scott Dawson Advertising Ltd,02/07/2024,"12,000.00"
ENVH - Environmental Health,BAB - Environmental Protection,Temp Staff 26.05.24 and 02.06.24 M McNaughton,1,CRINV0002558,Vivid Resourcing,02/07/2024,983.75
ENVH - Environmental Health,BAB - Environmental Protection,Temp staff 02.06.24 ,1,CRINV0002559,Vivid Resourcing,02/07/2024,"1,410.00"
ENVS - Environmental Services,CAF - CVMU,Parts,1,CRINV0002597,Chorley Nissan,02/07/2024,712.31
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/c 27.05.24 ,1,CRINV0002604,Oyster Partnership,02/07/2024,"2,450.77"
LEGL - Legal & Democratic,DAH - Licencing,DBS Update service - 1 Year,1,CRINV0002635,Personnel Checks,02/07/2024,417.60
ENVS - Environmental Services,CAD - Town Centre & Markets,Room Hire - 24.5.24,1,CRINV0002658,Globe Enterprises Ltd,02/07/2024,"1,072.80"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp staff W/e 27.5.24,1,CRINV0002660,Proman Supply Chain Ltd,02/07/2024,"1,777.58"
ENVS - Environmental Services,CAD - Town Centre & Markets,Traffic management - Acc Food Festival,1,CRINV0002665,Kays Highways Ltd,02/07/2024,916.80
REGN - Regeneration & Housing,FAB - Facilities,Replacement and testing of alarm control panel at Crematorium,1,CRINV0002682,Full Circuit Fire & Security Ltd,02/07/2024,429.81
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency Staff - w/c 27.05.24,1,CRINV0002690,Proman Supply Chain Ltd,02/07/2024,530.30
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency Staff - w/c 27.05.24 ,2,CRINV0002690,Proman Supply Chain Ltd,02/07/2024,624.73
ENVH - Environmental Health,BAA - Housing Standards,Agency Staff - w/e 02.06.24 ,1,CRINV0002706,G2 Recruitment Solutions,02/07/2024,"1,884.18"
ENVH - Environmental Health,BAA - Housing Standards,Agency Staff w/c 27/05/24 ,1,CRINV0002710,Oyster Partnership,02/07/2024,"1,388.40"
ENVH - Environmental Health,BAA - Housing Standards,Agency Staff w/c 20/05/24,1,CRINV0002712,Oyster Partnership,02/07/2024,"1,653.60"
REGN - Regeneration & Housing,FAB - Facilities,Cleaning Supplies/Consumables Mercer Park,1,CRINV0002721,ServiceMaster Clean Contract Services AAA,02/07/2024,148.66
REGN - Regeneration & Housing,FAB - Facilities,Cleaning Supplies/Consumables Mercer Park,2,CRINV0002721,ServiceMaster Clean Contract Services AAA,02/07/2024,395.71
ENVS - Environmental Services,CAC - Parks & Cemeteries,Various goods including Plants/Garden goods,1,CRINV0002723,Park Lane Plants Ltd,02/07/2024,677.88
RESO - Resources,AAD - ICT,Call / Broadband charges 01.05.24 - 31.05.24,1,CRINV0002728,Cloudcoco Limited,02/07/2024,"1,502.16"
PLAN - Planning & Transportation,EAD - Planning,Temp staff W/c 3.6.24 ,1,CRINV0002744,Oyster Partnership,02/07/2024,"2,394.00"
ENVS - Environmental Services,CAF - CVMU,Steam Cleaning of Refuse Vehicles,1,CRINV0002751,Keep Em Clean,02/07/2024,262.50
ENVS - Environmental Services,CAC - Parks & Cemeteries,Copier Charges,1,CRINV0002752,Sharp Business Systems Uk Plc,02/07/2024,271.18
ENVS - Environmental Services,CAF - CVMU,Refuse Vehicle Steam Cleaning,1,CRINV0002755,Keep Em Clean,02/07/2024,262.50
ENVH - Environmental Health,BAB - Environmental Protection,Agency Staff w/c 03/06/2024 ,1,CRINV0002756,Vivid Resourcing,02/07/2024,"2,220.00"
ENVH - Environmental Health,BAB - Environmental Protection,Agency Staff W/C 04/06/2024 ,1,CRINV0002758,Vivid Resourcing,02/07/2024,506.52
ENVS - Environmental Services,CAA - Environmental Maintenance,Electricity charges,1,CRINV0002804,E-On Next Energy - A-001CB535 Unit 15 Market Hall,02/07/2024,177.95
ENVS - Environmental Services,CAA - Environmental Maintenance,electricity charges,2,CRINV0002804,E-On Next Energy - A-001CB535 Unit 15 Market Hall,02/07/2024,210.50
ENVH - Environmental Health,BAA - Housing Standards,Temp Staff W/C 27.5.24,1,CRINV0002826,Oyster Partnership,02/07/2024,"1,747.20"
ENVH - Environmental Health,BAA - Housing Standards,temp Staff W/C 3.6.24 ,1,CRINV0002827,Oyster Partnership,02/07/2024,"1,357.20"
ENVH - Environmental Health,BAA - Housing Standards,Temp Staff W/C 3.6.24 ,1,CRINV0002828,Oyster Partnership,02/07/2024,"1,828.32"
ENVH - Environmental Health,BAA - Housing Standards,Temp staff W/C 3.6.24 ,1,CRINV0002829,Oyster Partnership,02/07/2024,446.58
ENVH - Environmental Health,BAA - Housing Standards,Temp Staff W/E 9.6.24,1,CRINV0002831,G2 Recruitment Solutions,02/07/2024,"2,454.50"
REGN - Regeneration & Housing,FAB - Facilities,Accrington Crematorium,1,CRINV0002834,HSL Compliance,02/07/2024,43.20
REGN - Regeneration & Housing,FAB - Facilities,Acc Cemetery Office,2,CRINV0002834,HSL Compliance,02/07/2024,43.20
REGN - Regeneration & Housing,FAB - Facilities,Acc Cemetery Service Building,3,CRINV0002834,HSL Compliance,02/07/2024,42.00
REGN - Regeneration & Housing,FAB - Facilities,Accrington Town Hall,4,CRINV0002834,HSL Compliance,02/07/2024,99.60
REGN - Regeneration & Housing,FAB - Facilities,Broadway Offices,5,CRINV0002834,HSL Compliance,02/07/2024,62.40
REGN - Regeneration & Housing,FAB - Facilities,Brian Walmsley Pavilion,6,CRINV0002834,HSL Compliance,02/07/2024,74.40
REGN - Regeneration & Housing,FAB - Facilities,Bullough Park Pavilion,7,CRINV0002834,HSL Compliance,02/07/2024,78.00
REGN - Regeneration & Housing,FAB - Facilities,CVMU,8,CRINV0002834,HSL Compliance,02/07/2024,50.40
REGN - Regeneration & Housing,FAB - Facilities,Dill Hall Cem Service Building,9,CRINV0002834,HSL Compliance,02/07/2024,34.80
REGN - Regeneration & Housing,FAB - Facilities,Gt Harwood Cemetery Service Building,10,CRINV0002834,HSL Compliance,02/07/2024,43.20
REGN - Regeneration & Housing,FAB - Facilities,Haworth Art Gallery,11,CRINV0002834,HSL Compliance,02/07/2024,54.00
REGN - Regeneration & Housing,FAB - Facilities,Haworth Stables,12,CRINV0002834,HSL Compliance,02/07/2024,51.60
REGN - Regeneration & Housing,FAB - Facilities,King Georges Pavilion,13,CRINV0002834,HSL Compliance,02/07/2024,166.80
REGN - Regeneration & Housing,FAB - Facilities,Lowerfold Pavilion,14,CRINV0002834,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Memorial Pavilion,15,CRINV0002834,HSL Compliance,02/07/2024,50.40
REGN - Regeneration & Housing,FAB - Facilities,Mercer House,16,CRINV0002834,HSL Compliance,02/07/2024,33.60
REGN - Regeneration & Housing,FAB - Facilities,Mercer Park Bowls Pavilion,17,CRINV0002834,HSL Compliance,02/07/2024,31.20
REGN - Regeneration & Housing,FAB - Facilities,Milnshaw Park Bowls Pavilion,18,CRINV0002834,HSL Compliance,02/07/2024,40.80
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Park Bandstand,19,CRINV0002834,HSL Compliance,02/07/2024,34.80
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Park Bowls Pavilion,20,CRINV0002834,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Park Service Building,21,CRINV0002834,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Park Tennis Pavilion,22,CRINV0002834,HSL Compliance,02/07/2024,39.60
REGN - Regeneration & Housing,FAB - Facilities,Parker Street Bowls Pavilion,23,CRINV0002834,HSL Compliance,02/07/2024,33.60
REGN - Regeneration & Housing,FAB - Facilities,Peel Park Bowls Pavilion,24,CRINV0002834,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Peel Street Public Toilets,25,CRINV0002834,HSL Compliance,02/07/2024,51.60
REGN - Regeneration & Housing,FAB - Facilities,Ryddings Park Bowls Pavilion,26,CRINV0002834,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Ryddings Park Coach House,27,CRINV0002834,HSL Compliance,02/07/2024,46.80
REGN - Regeneration & Housing,FAB - Facilities,Rhyddings Park Service Building,28,CRINV0002834,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Scaitcliffe House,29,CRINV0002834,HSL Compliance,02/07/2024,76.80
REGN - Regeneration & Housing,FAB - Facilities,Willows Lane Office,30,CRINV0002834,HSL Compliance,02/07/2024,50.40
REGN - Regeneration & Housing,FAB - Facilities,Willows Lane Canteen,31,CRINV0002834,HSL Compliance,02/07/2024,45.60
REGN - Regeneration & Housing,FAB - Facilities,Willows Lane Stores,32,CRINV0002834,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Wilsons Pavilion,33,CRINV0002834,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Civic Theatre electric May 2024,1,CRINV0002835,Corona Energy - 60161120 Oswaldtwistle Civic Theat,02/07/2024,"1,109.66"
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,1,CRINV0002837,HSL Compliance,02/07/2024,43.20
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,2,CRINV0002837,HSL Compliance,02/07/2024,43.20
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Acc Cem Building,3,CRINV0002837,HSL Compliance,02/07/2024,42.00
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,4,CRINV0002837,HSL Compliance,02/07/2024,99.60
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,5,CRINV0002837,HSL Compliance,02/07/2024,62.40
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - Mat 24 - Brian Walmsley,6,CRINV0002837,HSL Compliance,02/07/2024,74.40
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Bullough,7,CRINV0002837,HSL Compliance,02/07/2024,78.00
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Dill Hall,8,CRINV0002837,HSL Compliance,02/07/2024,34.80
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - G-H Cem,9,CRINV0002837,HSL Compliance,02/07/2024,43.20
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,10,CRINV0002837,HSL Compliance,02/07/2024,54.00
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,11,CRINV0002837,HSL Compliance,02/07/2024,51.60
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Lowerfold,12,CRINV0002837,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Memorial,13,CRINV0002837,HSL Compliance,02/07/2024,50.40
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,14,CRINV0002837,HSL Compliance,02/07/2024,33.60
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance -May 24- Mercer,15,CRINV0002837,HSL Compliance,02/07/2024,31.20
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Milnshaw,16,CRINV0002837,HSL Compliance,02/07/2024,40.80
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Oakhill,17,CRINV0002837,HSL Compliance,02/07/2024,34.80
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - MAY 24 - Oakhill Bowls,18,CRINV0002837,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Service Building,19,CRINV0002837,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Oakhill Tennis,20,CRINV0002837,HSL Compliance,02/07/2024,39.60
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Parker St,21,CRINV0002837,HSL Compliance,02/07/2024,33.60
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Peel Park,22,CRINV0002837,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,23,CRINV0002837,HSL Compliance,02/07/2024,51.60
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Rhyddings Bowls,24,CRINV0002837,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,25,CRINV0002837,HSL Compliance,02/07/2024,46.80
REGN - Regeneration & Housing,FAB - Facilities,Water system complaince - May 24- Rhyddings Service Building,26,CRINV0002837,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,27,CRINV0002837,HSL Compliance,02/07/2024,76.80
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,28,CRINV0002837,HSL Compliance,02/07/2024,50.40
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24,29,CRINV0002837,HSL Compliance,02/07/2024,45.60
REGN - Regeneration & Housing,FAB - Facilities,Water system compliance - May 24 - Wilsons,30,CRINV0002837,HSL Compliance,02/07/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,Install drain and carry out mains injection,1,CRINV0002840,HSL Compliance,02/07/2024,902.10
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp Staff W/C 3.6.24,1,CRINV0002845,Proman Supply Chain Ltd,02/07/2024,"1,391.64"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp staff w/c 3.6.24,1,CRINV0002846,Proman Supply Chain Ltd,02/07/2024,"1,955.05"
ENVS - Environmental Services,CAE - Waste Services,Temp staff w/e 9.6.24,1,CRINV0002847,Rapid Recruitment Ltd,02/07/2024,"2,610.10"
LEGL - Legal & Democratic,DAB - Human Resources,Connecting Cultures Event Buffet,1,CRINV0002868,S.R.S. Catering Ltd,02/07/2024,"2,047.50"
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Signs,1,CRINV0002886,G & G Signs,02/07/2024,393.84
RESO - Resources,AAD - ICT,Charges: 1.5.24 to 30.6.24,1,CRINV0002906,Cloudcoco Limited,02/07/2024,"1,503.22"
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Resurface with tarmac,1,CRINV0002909,Sterling Construction (Services) Ltd,02/07/2024,816.00
ENVS - Environmental Services,CAB - Other Environmental Services,Vehicle Hire - 5.6.24,1,CRINV0002955,Stanley Brothers (Tippers) Ltd,02/07/2024,648.00
LEGL - Legal & Democratic,DAB - Human Resources,Tests & mouthpieces,1,CRINV0002960,D Tec International,02/07/2024,"2,013.60"
ENVS - Environmental Services,CAF - CVMU,Parts and materials,1,CRINV0002970,Terberg Matec Uk,02/07/2024,624.34
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Section 70 street nameplates,1,CRINV0002977,Sterling Construction (Services) Ltd,02/07/2024,"1,944.00"
PLAN - Planning & Transportation,EAD - Planning,Consultancy for upgrade and tidy up file server,1,CRINV0002983,Ggp Systems Ltd,02/07/2024,"2,100.00"
PLAN - Planning & Transportation,EAD - Planning,Agency Staff Costs W/C 16/06/2024 ,1,CRINV0002997,Macdonald & Company,02/07/2024,"1,771.20"
ENVS - Environmental Services,CAA - Environmental Maintenance,Legal services ,1,CRINV0003033,Womble Bond Dickinson (Uk) LLP,02/07/2024,"6,654.60"
RESO - Resources,AAB - Benefits & Customer Contact,Professional Charges ,1,CRINV0003044,Stephensons Solicitors LLP,02/07/2024,"1,162.96"
REGN - Regeneration & Housing,FAB - Facilities,Hand dryers for Oakhill Park,1,CRINV0003058,Steven Mercer Electrical Contractors Limited,02/07/2024,618.00
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 23.06.24,1,CRINV0003064,Macdonald & Company,02/07/2024,"1,713.80"
REGN - Regeneration & Housing,FAD - Housing Advice,Rent in advance ,1,CRINV0003080,Accent Homes Ltd,02/07/2024,535.51
