Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
ENVS - Environmental Services,CAF - CVMU,Vehicle Tax,1,CRINV00004907,Barclaycard,15/07/24,337.50
ENVS - Environmental Services,CAF - CVMU,Vehicle Tax,1,CRINV00004907,Barclaycard,15/07/24,337.50
REGN - Regeneration & Housing,FAC-Haworth Art Gallery,Storage Boxes,1,CRINV00004907,Barclaycard,15/07/24,280.86
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation,1,,Barclaycard,15/07/24,361.20
ENVS - Environmental Services,CAC - Parks & Cemeteries,Paint,1,CRINV00004907,Barclaycard,15/07/24,318.37
ENVS - Environmental Services,CAC - Parks & Cemeteries,Subscription,1,,Barclaycard,15/07/24,330.00
ENVH- Environmental Health,BAC - Food & Safety,Deposit Fee,1,CRINV00004907,Barclaycard,15/07/24,497.50
LEGL - Legal & Democratic,DAG - Elections,Election items,1,CRINV0003533,Prestige Bb Limited,01/08/24,"2,057.86"
ENVS - Environmental Services,CAE - Waste Services,Red opaque dog waste bags,1,CRINV0003545,Durasak Limited,01/08/24,"11,174.69"
REGN - Regeneration & Housing,FAB - Facilities,Electricity,1,CRINV0003669,EDF - 207575286 Accrington Crematorium Site 2,01/08/24,"2,206.05"
REGN - Regeneration & Housing,FAB - Facilities,Electricity,2,CRINV0003669,EDF - 207575286 Accrington Crematorium Site 2,01/08/24,68.33
REGN - Regeneration & Housing,FAB - Facilities,Electricity- Oakhill Park Centre,1,CRINV0003677,EDF - 4743267271 Oakhill Park Site 17,01/08/24,286.94
REGN - Regeneration & Housing,FAB - Facilities,Electricity- Oakhill Park Centre,2,CRINV0003677,EDF - 4743267271 Oakhill Park Site 17,01/08/24,46.17
REGN - Regeneration & Housing,FAB - Facilities,Electricity- Unit 15 Market Hall,1,CRINV0003678,EDF - 3809479863 Unit 15 Peel Street Site 15,01/08/24,636.13
REGN - Regeneration & Housing,FAB - Facilities,Electricity- Unit 15 Market Hall,2,CRINV0003678,EDF - 3809479863 Unit 15 Peel Street Site 15,01/08/24,50.80
REGN - Regeneration & Housing,FAB - Facilities,Electricity The Stable & Motor House,1,CRINV0003680,EDF - 6737575003 Haworth Stables Site 27,01/08/24,422.98
REGN - Regeneration & Housing,FAB - Facilities,Electricity- The Stable & Motor House,2,CRINV0003680,EDF - 6737575003 Haworth Stables Site 27,01/08/24,48.87
ENVS - Environmental Services,CAF - CVMU,Various parts,1,CRINV0003712,Pirtek Preston 2004 Ltd,01/08/24,326.24
ENVS - Environmental Services,CAF - CVMU,Rubber lug/V-Belt etc,1,CRINV0003718,Walton Summit Truck Centre Ltd,01/08/24,446.30
ENVS - Environmental Services,CAF - CVMU,Labour,1,CRINV0003737,Rob Mercer,01/08/24,200.00
ENVS - Environmental Services,CAF - CVMU,Materials,2,CRINV0003737,Rob Mercer,01/08/24,192.64
