Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
ENVS - Environmental Services,BAA - Environmental Health,Deposit Fee,1,CRINV00005334,Barclaycard,14/08/2024,497.50
ENVS - Environmental Services,CAF - CVMU,Road Tax,1,CRINV0005334,Barclaycard,14/08/2024,452.50
ENVS - Environmental Services,CAF - CVMU,Road Tax,1,CRINV0005334,Barclaycard,14/08/2024,337.50
ENVS - Environmental Services,CAF - CVMU,Road Tax,1,CRINV0005334,Barclaycard,14/08/2024,337.50
REGN - Regeneration & Housing,FAC - Haworth Art Gallery ,Storage Boxes,1,CRINV0005334,Barclaycard,14/08/2024,280.86
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation,1,CRINV0005334,Barclaycard,14/08/2024,361.20
ENVS - Environmental Services,CAC - Parks & Cemeteries,Paint,1,CRINV0005334,Barclaycard,14/08/2024,318.37
ENVS - Environmental Services,CAC - Parks & Cemeteries,Subscription,1,CRINV0005334,Barclaycard,14/08/2024,330.00
RESO - Resources,AAE - Residual Leisure,Reduced Holiday Swim - Apr-Jun 24,1,CRINV0003357,Hyndburn Leisure,03/09/2024,"1,303.20"
RESO - Resources,AAE - Residual Leisure,Contributions to LP Inductions - Apr-Jun 24,1,CRINV0003358,Hyndburn Leisure,03/09/2024,618.00
RESO - Resources,AAE - Residual Leisure,Cont Armed Forces - 1.4.24 to 30.6.24,1,CRINV0003359,Hyndburn Leisure,03/09/2024,"1,271.40"
RESO - Resources,AAE - Residual Leisure,Healthy weights & family programme period 24/24,1,CRINV0003892,Hyndburn Leisure,03/09/2024,"66,770.00"
REGN - Regeneration & Housing,FAB - Facilities,Portable Appliance Testing: Scaitcliffe House,1,CRINV0004154,BES Group Electrical Limited,03/09/2024,"1,521.54"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/c 29.07.24 ,1,CRINV0004192,Oyster Partnership,03/09/2024,"2,376.90"
PLAN - Planning & Transportation,EAD - Planning,Advertising Acc Observer - 2/8/24,1,CRINV0004207,People Scout Limited,03/09/2024,270.14
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 04.08.24 ,1,CRINV0004223,Vivid Resourcing,03/09/2024,"1,554.00"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 11.08.24 ,2,CRINV0004223,Vivid Resourcing,03/09/2024,"1,716.00"
PLAN - Planning & Transportation,EAD - Planning,Advertisement - Acc Observer 09.08.24,1,CRINV0004240,People Scout Limited,03/09/2024,270.14
ENVH - Environmental Health,BAA - Housing Standards,temp staff w/c 29/07/24 ,1,CRINV0004247,Oyster Partnership,03/09/2024,655.20
ENVH - Environmental Health,BAA - Housing Standards,temp staff w/c 29/07/24 ,1,CRINV0004248,Oyster Partnership,03/09/2024,684.18
ENVH - Environmental Health,BAA - Housing Standards,Temp Staff w/e 04/08/24 ,1,CRINV0004249,G2 Recruitment Solutions,03/09/2024,"2,389.67"
ENVS - Environmental Services,CAF - CVMU,V-Belt & Blade,1,CRINV0004283,Balmers Garden Machinery,03/09/2024,285.81
ENVS - Environmental Services,CAF - CVMU,Bumper/Brackets/Link rod etc,1,CRINV0004290,Dennis Eagle Limited,03/09/2024,875.93
ENVS - Environmental Services,CAF - CVMU,Parts and Materials,1,CRINV0004292,Terberg Matec Uk,03/09/2024,478.06
ENVS - Environmental Services,CAF - CVMU,Parts,1,CRINV0004295,Walton Summit Truck Centre Ltd,03/09/2024,303.68
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Remove damaged and supply new benches,1,CRINV0004308,Sterling Construction (Services) Ltd,03/09/2024,"2,028.00"
LEGL - Legal & Democratic,DAA - Democratic Services,Flowers for Mayor Making 29.06.24,1,CRINV0004310,Victoria Flower Shop,03/09/2024,885.00
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 04.08.24 ,1,CRINV0004313,Vivid Resourcing,03/09/2024,945.00
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 04.08.24 ,1,CRINV0004314,Vivid Resourcing,03/09/2024,283.50
PLAN - Planning & Transportation,EAD - Planning,Advising in Conference,1,CRINV0004315,Miss Constanze Bell - Kings Chambers,03/09/2024,"2,400.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Stage payment for Acc Pals Memorial Sculpture,1,CRINV0004323,John Everiss Design,03/09/2024,"19,200.00"
ENVH - Environmental Health,BAA - Housing Standards,Support Service Membership,1,CRINV0004344,Mallard Consultancy Ltd,03/09/2024,599.40
ENVH - Environmental Health,BAA - Housing Standards,Support Service Membership,2,CRINV0004344,Mallard Consultancy Ltd,03/09/2024,599.40
PLAN - Planning & Transportation,EAD - Planning,Advising in conference,1,CRINV0004355,Miss Constanze Bell - Kings Chambers,03/09/2024,"2,400.00"
LEGL - Legal & Democratic,DAI - Land Charges,1st quarter plus car allowances,1,CRINV0004367,Pendle Borough Council,03/09/2024,"7,447.24"
RESO - Resources,AAF - Finance,Accounting Schedule for the Year ending 31st March 2023 Admin Fee,1,CRINV0004385,Lancashire County Council,03/09/2024,626.82
ENVS - Environmental Services,CAB - Other Environmental Services,Hire of vehicle 7.8.24,1,CRINV0004406,Stanley Brothers (Tippers) Ltd,03/09/2024,648.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp staff w/e 4.8.24,1,CRINV0004407,Proman Supply Chain Ltd,03/09/2024,"1,228.58"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp staff w/e 4.8.24,1,CRINV0004408,Proman Supply Chain Ltd,03/09/2024,"2,338.56"
ENVS - Environmental Services,CAD - Town Centre & Markets,Hyndburn Sounds 24 Part 2/2,1,CRINV0004409,Accrington Community Events,03/09/2024,"2,000.00"
ENVS - Environmental Services,CAD - Town Centre & Markets,Traffic Mgt - Rishton Festival,1,CRINV0004410,Kays Highways Ltd,03/09/2024,"1,558.08"
ENVS - Environmental Services,CAA - Environmental Maintenance,"Publicity & Mobilisation- Burton Chambers, Accrington",1,CRINV0004421,2-Work Group Ltd,03/09/2024,"11,400.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Stray Dog Contract,1,CRINV0004521,Aspen Valley Boarding Kennels & Cattery,03/09/2024,"2,735.80"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Off site assessment/ report writing,1,CRINV0004523,Environmental Leadership Ltd,03/09/2024,252.00
ENVS - Environmental Services,CAE - Waste Services,Temp Staff w/e 11/08/24,1,CRINV0004528,Rapid Recruitment Ltd,03/09/2024,"2,128.09"
ENVS - Environmental Services,CAB - Other Environmental Services,Dangerous Dog Awareness Course x 3 delegates,1,CRINV0004537,Pendle Borough Council,03/09/2024,832.50
ENVS - Environmental Services,CAF - CVMU,Steam cleaning of Refuse Vehicles,1,CRINV0004539,Keep Em Clean,03/09/2024,262.50
ENVS - Environmental Services,CAF - CVMU,Labour,1,CRINV0004589,Rob Mercer,03/09/2024,100.00
ENVS - Environmental Services,CAF - CVMU,Materials,2,CRINV0004589,Rob Mercer,03/09/2024,230.89
ENVS - Environmental Services,CAB - Other Environmental Services,Charges - 26.06.24 - 25.07.24,1,CRINV0004633,Water Plus - 4082169237 Towns Yard & Plumber,03/09/2024,326.06
ENVS - Environmental Services,CAF - CVMU,Labour,1,CRINV0004657,Rob Mercer,03/09/2024,250.00
ENVS - Environmental Services,CAF - CVMU,Materials,2,CRINV0004657,Rob Mercer,03/09/2024,307.46
ENVS - Environmental Services,CAF - CVMU,Vehicle Maintenance,1,CRINV0004660,VPG Systems UK Ltd,03/09/2024,372.00
REGN - Regeneration & Housing,FAB - Facilities,Sampling Survey - Town Hall,1,CRINV0004667,Consultants & Specialist Surveyors Ltd,03/09/2024,474.00
ENVS - Environmental Services,CAB - Other Environmental Services,Vehicle Hire,1,CRINV0004668,Stanley Brothers (Tippers) Ltd,03/09/2024,648.00
RESO - Resources,AAG - Management Resources,Job Listing,1,CRINV0004675,Hemming Group Limited,03/09/2024,"3,900.00"
REGN - Regeneration & Housing,FAC - Haworth Art Gallery,Hire of the Acorn Suite in Accrington Town Hall on Thursday 25th July 2024,1,CRINV0004706,Hyndburn Leisure,03/09/2024,315.00
REGN - Regeneration & Housing,FAC - Haworth Art Gallery,Cost of providing refreshments,2,CRINV0004706,Hyndburn Leisure,03/09/2024,25.00
ENVS - Environmental Services,CAB - Other Environmental Services,1000 Litres X Ad Blue,1,CRPOI0004362,J E Morten Ltd,03/09/2024,456.00
RESO - Resources,AAF - Finance,Treasury Retainer Contract - 19th April 2024 to 18th April 2025,1,CRPOI0004363,Link Group,03/09/2024,"10,200.00"
ENVS - Environmental Services,CAE - Waste Services,12 X Euro Hoody Litter Bin: ,1,CRPOI0004372,MRM Street Furniture Limited,03/09/2024,"2,808.00"
ENVS - Environmental Services,CAE - Waste Services,6 X Spare Top,2,CRPOI0004372,MRM Street Furniture Limited,03/09/2024,712.80
ENVS - Environmental Services,CAC - Parks & Cemeteries,Refurbished bench to included recycled plastic slats as per quote dated 19.6.24,1,CRPOI0004373,Ark Plastics Ltd,03/09/2024,324.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,800 X 70/30 Fine Turf Top Dressing ,1,CRPOI0004374,Agrovista Uk Limited,03/09/2024,"2,774.40"
REGN - Regeneration & Housing,FAB - Facilities,Supply and installation of Fire Alarm monitoring device,1,CRPOI0004428,Full Circuit Fire & Security Ltd,03/09/2024,331.20
ENVS - Environmental Services,CAB - Other Environmental Services,Litres HVO ,1,CRPOI0004439,Certas Energy,03/09/2024,"33,687.43"
ENVS - Environmental Services,CAB - Other Environmental Services, Rotech Door Seal ,1,CRPOI0004473,1env Solutions Ltd,03/09/2024,67.84
ENVS - Environmental Services,CAB - Other Environmental Services, Black Rat Stations with bars ,2,CRPOI0004473,1env Solutions Ltd,03/09/2024,137.73
ENVS - Environmental Services,CAB - Other Environmental Services,Short Bait Rods for Solo (pack 10) ,3,CRPOI0004473,1env Solutions Ltd,03/09/2024,40.80
ENVS - Environmental Services,CAB - Other Environmental Services, Soudal Repair Express Cement ,4,CRPOI0004473,1env Solutions Ltd,03/09/2024,51.41
ENVS - Environmental Services,CAB - Other Environmental Services,Sakarat Bromabait 10kg ,1,CRPOI0004559,Killgerm Chemicals Ltd,03/09/2024,264.60
ENVH - Environmental Health,BAC - Food & Safety,Giant Entour and accessories X4,1,CRPOI0004625,On Yer Bike Ltd,03/09/2024,"5,961.75"
ENVS - Environmental Services,CAC - Parks & Cemeteries,10 X Nomix Dual 5L Pack ,1,CRPOI0004638,Nomix Enviro Limited,03/09/2024,"1,584.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Carriage Charge,2,CRPOI0004638,Nomix Enviro Limited,03/09/2024,38.40
ENVS - Environmental Services,CAE - Waste Services,,1,CRDBR0004731,Lancashire County Council,05/09/2024,"1,221.60"
LEGL - Legal & Democratic,DAF - Policy,Second grant payment,1,CRINV0004466,Prospects Community Energy,05/09/2024,"10,000.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,1,CRINV0004593,Benjamin Forshaw,05/09/2024,"3,500.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,29 June 2024 - 02 August 2024 Electricity invoice,1,CRINV0004608,Scottish Power - 16136257338 - 3 Abbey Street,05/09/2024,531.29
REGN - Regeneration & Housing,FAF - Strategic Housing,Repoint chimney,1,CRINV0004611,Benjamin Forshaw,05/09/2024,500.00
PLAN - Planning & Transportation,EAA - Building Control,Agency staff - w/e 23.08.24 ,1,CRINV0004661,Deekay Tech Recruitment Ltd,05/09/2024,"1,575.16"
ENVS - Environmental Services,CAF - CVMU,Oxygen,1,CRINV0004689,British Oxygen Co Ltd,05/09/2024,383.50
RESO - Resources,AAF - Finance,August Land Registry Fee,1,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,2,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,3,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,4,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,5,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,6,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,7,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,8,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,9,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,10,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,11,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,12,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,13,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,14,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,15,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,16,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,17,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,18,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,19,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,20,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,21,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,22,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,23,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,24,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,25,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,26,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,27,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,28,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,29,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,30,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,31,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,32,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,33,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,34,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,35,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,36,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,37,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,38,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,39,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,40,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,41,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,42,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,43,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,44,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,45,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,46,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,47,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,48,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,49,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,50,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,51,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,52,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,53,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,54,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,55,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,56,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,57,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,58,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,59,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,60,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,61,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,62,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,63,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,64,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,65,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,66,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,67,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,68,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,69,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,70,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,71,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,72,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,73,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,74,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,75,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,76,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,77,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,78,CRINV0004712,HM Land Registry,05/09/2024,3.00
