Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
ENVS - Environmental Services,CAE - Waste Services,Temp staff w/e 22/09/24,,,1,,CRINV0005335,Rapid Recruitment Ltd,,05/11/2024,,"4,283.17"
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/c 30.09.24,,,1,,CRINV0005584,Vivid Resourcing,,05/11/2024,,"2,254.02"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 30.09.24 ,,,1,,CRINV0005606,Oyster Partnership,,05/11/2024,,"1,279.20"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 30.09.24 ,,,1,,CRINV0005607,Oyster Partnership,,05/11/2024,,"1,711.63"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 30.09.24 ,,,1,,CRINV0005608,Oyster Partnership,,05/11/2024,,567.54
LEGL - Legal & Democratic,DAD - Management Legal & Dem,Searches - September 2024,,,1,,CRINV0005611,Lancashire County Council,,05/11/2024,,528.00
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 21.07.24 ,,,1,,CRINV0005620,Carrington West Limited,,05/11/2024,,"1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 28.07.24 ,,,1,,CRINV0005621,Carrington West Limited,,05/11/2024,,"1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 04.08.24,,,1,,CRINV0005622,Carrington West Limited,,05/11/2024,,"1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 11.08.24 ,,,1,,CRINV0005623,Carrington West Limited,,05/11/2024,,"1,296.42"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/c 30.09.24 ,,,1,,CRINV0005629,Oyster Partnership,,05/11/2024,,"2,268.83"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency staff - w/c 30.09.24,,,1,,CRINV0005634,Proman Supply Chain Ltd,,05/11/2024,,"1,524.24"
