Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,,Payment Date,,Amount Paid
PLAN - Planning & Transportation,EAD - Planning,Temp Staff w/e 03/11/24,,,1,,CRINV0006150,Vivid Resourcing,,,03/12/2024,,414.00
ENVH - Environmental Health,BAA - Housing Standards,Temp staff wc 21.10.24 ,,,1,,CRINV0006164,Oyster Partnership,,,03/12/2024,,374.40
ENVH - Environmental Health,BAA - Housing Standards,Temp staff w/c 28.10.24 ,,,1,,CRINV0006166,Oyster Partnership,,,03/12/2024,,889.20
PLAN - Planning & Transportation,EAD - Planning,Temp Staff wc 28.10.24.  ,,,1,,CRINV0006168,Oyster Partnership,,,03/12/2024,,"2,394.00"
ENVH - Environmental Health,BAA - Housing Standards,Temp staff w/c 28.10.24  ,,,1,,CRINV0006169,Oyster Partnership,,,03/12/2024,,886.68
REGN - Regeneration & Housing,FAD - Housing Advice,Temp staff 03.11.24 ,,,1,,CRINV0006195,Vivid Resourcing,,,03/12/2024,,"1,022.96"
ENVH - Environmental Health,BAB - Environmental Protection,Temp Staff w/e 03/11/24,,,1,,CRINV0006215,Vivid Resourcing,,,03/12/2024,,314.69
ENVS - Environmental Services,CAF - CVMU,Key set cyclinder,,,1,,CRINV0006233,Chorley Nissan,,,03/12/2024,,407.22
RESO - Resources,AAB - Benefits & Customer Contact,DWP  - 1.4.24 to 30.9.24,,,1,,CRINV0006246,Capita One Limited,,,03/12/2024,,"2,215.84"
REGN - Regeneration & Housing,FAB - Facilities,No thermostat to radiator,,,1,,CRINV0006249,Lancashire Gas Services,,,03/12/2024,,859.20
ENVS - Environmental Services,CAC - Parks & Cemeteries,Deep clean of building,,,1,,CRINV0006267,Gicm Limited,,,03/12/2024,,"1,249.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency Costs W/C 28/10/2024,,,1,,CRINV0006276,Proman Supply Chain Ltd,,,03/12/2024,,"1,346.76"
PLAN - Planning & Transportation,EAD - Planning,Planning Fees,,,1,,CRINV0006310,Pegasus Planning Group Ltd,,,03/12/2024,,"2,340.00"
PLAN - Planning & Transportation,EAD - Planning,Agency Staff S.W/E 10/11/2024,,,1,,CRINV0006328,Macdonald & Company,,,03/12/2024,,834.35
PLAN - Planning & Transportation,EAD - Planning,Agency Staff  W/E 10/11/2024,,,2,,CRINV0006328,Macdonald & Company,,,03/12/2024,,834.35
PLAN - Planning & Transportation,EAC - Green Infrastructure,Brookside climate action,,,1,,CRINV0006389,Proffitts Investing In Communities,,,03/12/2024,,"13,974.00"
ENVS - Environmental Services,CAE - Waste Services,Hire of 8 wheeler 07.11.24,,,1,,CRINV0006407,Stanley Brothers (Tippers) Ltd,,,03/12/2024,,648.00
LEGL - Legal & Democratic,DAH - Licencing,DVLA Checks,,,1,,CRINV0006425,Personnel Checks,,,03/12/2024,,384.00
LEGL - Legal & Democratic,DAH - Licencing,DVLA Checks,,,2,,CRINV0006425,Personnel Checks,,,03/12/2024,,91.20
ENVS - Environmental Services,CAE - Waste Services,Temp staff w/e 10.11.24,,,1,,CRINV0006475,Rapid Recruitment Ltd,,,03/12/2024,,"2,263.07"
PLAN - Planning & Transportation,EAD - Planning,Agency Costs W/E 17/11/2024,,,1,,CRINV0006497,Macdonald & Company,,,03/12/2024,,794.58
PLAN - Planning & Transportation,EAD - Planning,Agency Costs W/E 17/11/2024,,,2,,CRINV0006497,Macdonald & Company,,,03/12/2024,,794.58
PLAN - Planning & Transportation,EAD - Planning,Professional Subscription fees,,,1,,CRINV0006530,The Royal Town Planning Institute,,,03/12/2024,,368.00
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,,,1,,CRINV0006562,Rhea Projects,,,03/12/2024,,"3,701.25"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,,,1,,CRINV0006563,Artisan Windows,,,03/12/2024,,920.00
RESO - Resources,AAB - Benefits & Customer Contact,Temp staff w/e 17.11.24,,,1,,CRINV0006590,Eden Brown Limited,,,03/12/2024,,"1,212.12"
PLAN - Planning & Transportation,EAD - Planning,Planning app Refund,,,1,,CRINV0006613,Portal Plan Quest Ltd,,,03/12/2024,,578.00
RESO - Resources,AAF - Finance,Sanitary charges - 12.12.24-11.12.25,,,1,,CRINV0006621,PHS Group,,,03/12/2024,,"1,011.74"
RESO - Resources,AAB - Benefits & Customer Contact,Professional Fees,,,1,,CRINV0006642,Stephensons Solicitors LLP,,,03/12/2024,,"2,432.00"
ENVS - Environmental Services,CAD - Town Centre & Markets,Water Markets 26.10.24 - 25.11.24,,,1,,CRINV0006650,Water Plus - 4083296151 Market Hall,,,03/12/2024,,764.93
PLAN - Planning & Transportation,EAA - Building Control,Temp staff w/e 22.11.24,,,1,,CRINV0006655,Deekay Tech Recruitment Ltd,,,03/12/2024,,"1,401.54"
PLAN - Planning & Transportation,EAD - Planning,Planning refund ,,,1,,CRINV0006660,Portal Plan Quest Ltd,,,03/12/2024,,293.00
PLAN - Planning & Transportation,EAD - Planning,Planning refund ,,,1,,CRINV0006669,Portal Plan Quest Ltd,,,03/12/2024,,518.00
REGN - Regeneration & Housing,FAD - Housing Advice,Deposit Fee,,,1,,CRINV0006683,Sharp lettings & Property Management,,,03/12/2024,,577.00
PLAN - Planning & Transportation,EAA - Building Control,Staff. week 2 28.10.24 ,,,1,,CRINV0006684,Confido Consult Ltd,,,03/12/2024,,"2,248.84"
PLAN - Planning & Transportation,EAD - Planning,Staff 24.11.24 ,,,1,,CRINV0006689,Macdonald & Company,,,03/12/2024,,844.60
