Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Market hall Wastewater Bill 01 April 2025 - 31 March 2026,,,1,,CRINV0010318,,Water Plus - 4083296151 Market Hall,,,03/06/2025,,"5,269.41"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Buriel Services - various dates,,,1,,CRINV0010388,,James O Garnett Ltd,,,03/06/2025,,"2,160.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/c 28.04.25,,,1,,CRINV0010390,,Oyster Partnership,,,03/06/2025,,"2,529.60"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 28.04.25,,,1,,CRINV0010401,,Oyster Partnership,,,03/06/2025,,"1,372.80"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 21.04.25,,,1,,CRINV0010402,,Oyster Partnership,,,03/06/2025,,"1,029.60"
ENVS - Environmental Services,,CAF - CVMU,,temp staff w/c 28/04/25,,,1,,CRINV0010424,,Proactive Personnel Ltd,,,03/06/2025,,"1,800.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,temp staff w/c 28/04/25,,,1,,CRINV0010459,,Proman Supply Chain Ltd,,,03/06/2025,,"1,505.20"
ENVS - Environmental Services,,CAF - CVMU,,Synmax Spectrum,,,1,,CRINV0010553,,Sar Lubricants,,,03/06/2025,,541.20
LEGL - Legal & Democratic,,DAG - Elections,,Polling station staff training,,,1,,CRINV0010556,,Assoc. Of Electoral Administrators,,,03/06/2025,,"1,944.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency Costs W/E 04/05/2025,,,1,,CRINV0010558,,Venn Group Limited,,,03/06/2025,,"1,278.28"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0010588,,Rhea Projects,,,03/06/2025,,"1,143.72"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable warmth Grant,,,1,,CRINV0010595,,Rhea Projects,,,03/06/2025,,"2,252.25"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0010596,,Rhea Projects,,,03/06/2025,,"3,219.86"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0010600,,Rhea Projects,,,03/06/2025,,"2,688.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0010601,,Rhea Projects,,,03/06/2025,,"2,205.00"
ENVS - Environmental Services,,CAF - CVMU,,Injector & seal,,,1,,CRINV0010617,,Gunn Jcb Ltd,,,03/06/2025,,"2,997.17"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency Staff costs - w/e 11.05.25,,,1,,CRINV0010666,,Rapid Recruitment Ltd,,,03/06/2025,,"1,166.94"
ENVS - Environmental Services,,CAE - Waste Services,,Parts and Labour,,,1,,CRINV0010680,,Intack Self Drive,,,03/06/2025,,253.18
ENVS - Environmental Services,,CAE - Waste Services,,Resized artwork and vinyls for Van,,,1,,CRINV0010826,,Brands Inside Out Limited,,,03/06/2025,,724.20
RESO - Resources,,AAD - ICT,,Charges - 01.01.25 - 31.03.25,,,1,,CRINV0010882,,Vodafone Limited,,,03/06/2025,,951.01
RESO - Resources,,AAD - ICT,,Charges May 25,,,1,,CRINV0010883,,EE Futures,,,03/06/2025,,"1,459.97"
RESO - Resources,,AAD - ICT,,Charges - April 25,,,1,,CRINV0010884,,EE Futures,,,03/06/2025,,"1,423.85"
RESO - Resources,,AAD - ICT,,Copier charges - 01.04.25 - 02.05.25,,,1,,CRINV0010886,,Xbm Ltd,,,03/06/2025,,544.02
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Emergency Works Grant,,,1,,CRINV0010911,,JPS Property Services Limited,,,03/06/2025,,"3,750.00"
RESO - Resources,,AAG - Management Resources,,Cabinet Action Fund Grant - CAF36,,,1,,CRINV0010913,,Huncoat United Junior Football Club,,,03/06/2025,,"1,250.00"
RESO - Resources,,AAF - Finance,,Mercers Actuarial Services,,,1,,CRINV0010990,,Lancashire County Council,,,03/06/2025,,"1,380.00"
REGN - Regeneration & Housing,,FAB - Facilities,,Payments for works,,,1,,CRINV0010992,,Greenable Construction Ltd,,,03/06/2025,,"4,500.00"
ENVS - Environmental Services,,CAF - CVMU,,Water CVMU 27.04.25 - 26.05.25,,,1,,CRINV0011004,,Water Plus - 4206400451 CVMU,,,03/06/2025,,489.25
