Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
REGN - Regeneration & Housing,,FAD - Housing Advice,,Temp staff w/e 7.9.25,,,1,,CRINV0013352,,Vivid Resourcing,,,02/10/2025,,"1,710.00"
LEGL - Legal & Democratic,,DAH - Licencing,,Agency staff - w/e 07.09.25,,,1,,CRINV0013353,,G2 Recruitment Solutions,,,02/10/2025,,"2,126.40"
REGN - Regeneration & Housing,,FAB - Facilities,,new ducting out of hours work,,,1,,CRINV0013393,,Sterling Construction (Services) Ltd,,,02/10/2025,,"2,400.00"
LEGL - Legal & Democratic,,DAB - Human Resources,,Understanding and Applying HHSRS ,,,1,,CRINV0013400,,Chartered Inst. Of Environmental Health,,,02/10/2025,,495.00
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,"Repairs to timber and metal fencing 
Reinstatement of fingerpost signage",,,1,,CRINV0013422,,Sterling Construction (Services) Ltd,,,02/10/2025,,"1,164.00"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire - 08.09.25 ,,,1,,CRINV0013427,,Stanley Brothers (Tippers) Ltd,,,02/10/2025,,744.00
ENVH - Environmental Health,,BAB - Environmental Protection,,Public Health Funeral,,,1,,CRINV0013446,,Barton & Hallworth Funeral Services,,,02/10/2025,,"1,860.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Huncoat Lane,,,1,,CRINV0013638,,Eric Wright Civil Engineering Ltd,,,02/10/2025,,"2,150.36"
RESO - Resources,,AAF - Finance,,RVBC Tariff due September 2025,,,1,,CRINV0013680,,(DD ONLY) Ribble Valley Borough Council,,,02/10/2025,,"407,534.00"
RESO - Resources,,AAF - Finance,,BRR & RSG September 25,,,1,,CRINV0013681,,"(DD) Department of Levelling Up, Housing & Comm...",,,02/10/2025,,"165,546.00-"
RESO - Resources,,AAF - Finance,,BRR & RSG Central Share September 25,,,2,,CRINV0013681,,"(DD) Department of Levelling Up, Housing & Comm...",,,02/10/2025,,"1,000,106.00"
RESO - Resources,,AAF - Finance,,BRR & RSG TR Payments September 25,,,3,,CRINV0013681,,"(DD) Department of Levelling Up, Housing & Comm...",,,02/10/2025,,"8,047.00-"
RESO - Resources,,AAF - Finance,,BRR & RSG Surplus for 24-25 September 25,,,4,,CRINV0013681,,"(DD) Department of Levelling Up, Housing & Comm...",,,02/10/2025,,"58,995.00"
RESO - Resources,,AAF - Finance,,Final Deficit for 23-24 September 25,,,5,,CRINV0013681,,"(DD) Department of Levelling Up, Housing & Comm...",,,02/10/2025,,"2,017.00-"
ENVH - Environmental Health,,BAA - Housing Standards,,Annual Azure Hosting Year 2 01.10.25 - 30.09.26,,,1,,CRINV0013750,,Civica Uk Limited,,,02/10/2025,,"3,900.00"
ENVH - Environmental Health,,BAA - Housing Standards,,Annual Azure Hosing Year 2 - 01.10.25 - 30.09.26,,,2,,CRINV0013750,,Civica Uk Limited,,,02/10/2025,,"1,950.00"
ENVH - Environmental Health,,BAA - Housing Standards,,Annual Azure Hosting Year 2 - 01.10.25 - 30.09.26,,,3,,CRINV0013750,,Civica Uk Limited,,,02/10/2025,,"1,950.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation ,,,1,,CRINV0013815,,Hill View (Private) Hotel,,,02/10/2025,,630.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation ,,,1,,CRINV0013816,,Hill View (Private) Hotel,,,02/10/2025,,840.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation ,,,1,,CRINV0013817,,Hill View (Private) Hotel,,,02/10/2025,,800.00
ENVS - Environmental Services,,CAF - CVMU,,Agency Staff - P/e 28.09.25,,,1,,CRINV0013828,,Autotech Recruit,,,02/10/2025,,"1,026.60"
ENVS - Environmental Services,,CAF - CVMU,,Charges - 27.08.25 - 26.09.25,,,1,,CRINV0013833,,Water Plus - 4206400451 CVMU,,,02/10/2025,,508.27
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional Charges ,,,1,,CRINV0013839,,Stephensons Solicitors LLP,,,02/10/2025,,600.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional Services ,,,1,,CRINV0013840,,Stephensons Solicitors LLP,,,02/10/2025,,600.00
