Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
ENVS - Environmental Services,,CAE - Waste Services,,Agency Costs W/E 12/10/2025,,,1,,CRINT0014382,,Rapid Recruitment Ltd,,,13/11/25,,"1,571.76"
ENVH - Environmental Health,,BAA - Housing Standards,,Temp staff w/e 29.9.25,,,1,,CRINV0014123,,Oyster Partnership,,,04/11/25,,"1,310.40"
ENVH - Environmental Health,,BAA - Housing Standards,,Temp staff w/e 29.9.25,,,1,,CRINV0014124,,Oyster Partnership,,,04/11/25,,"1,037.09"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Hire of vehicle 8.10.25,,,1,,CRINV0014144,,Stanley Brothers (Tippers) Ltd,,,04/11/25,,744.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Buriel services - Sept 25,,,1,,CRINV0014148,,James O Garnett Ltd,,,04/11/25,,"3,120.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional Charges,,,1,,CRINV0014151,,Stephensons Solicitors LLP,,,04/11/25,,"1,200.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs W/E 5/10/2025,,,1,,CRINV0014154,,Carrington West Limited,,,04/11/25,,606.40
ENVS - Environmental Services,,CAF - CVMU,,Vehicle Goods/Parts,,,1,,CRINV0014157,,Dennis Eagle Limited,,,04/11/25,,"1,484.88"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency Costs PE: 05/10/2025,,,1,,CRINV0014163,,Vivid Resourcing,,,04/11/25,,"1,710.00"
RESO - Resources,,AAD - ICT,,Period 09/07/2025 - 06/10/2025,,,1,,CRINV0014183,,Aurora Managed Services Ltd,,,04/11/25,,370.56
REGN - Regeneration & Housing,,FAD - Housing Advice,,Temp staff w/e 12.10.25,,,1,,CRINV0014201,,Vivid Resourcing,,,06/11/25,,"1,710.00"
RESO - Resources,,AAH - Facilities,,Repairs to boiler 5 Abbey Street,,,1,,CRINV0014206,,Lancashire Gas Services,,,04/11/25,,613.87
ENVH - Environmental Health,,BAB - Environmental Protection,,Temp staff w/e 12.10.25,,,1,,CRINV0014241,,Vivid Resourcing,,,06/11/25,,429.04
PLAN - Planning & Transportation,,EAD - Planning,,Temp staff w/e 12.10.25,,,1,,CRINV0014242,,Vivid Resourcing,,,06/11/25,,"2,160.00"
ENVS - Environmental Services,,CAF - CVMU,,Vehicle clean 15.9.25,,,1,,CRINV0014259,,Keep Em Clean,,,04/11/25,,262.50
ENVS - Environmental Services,,CAF - CVMU,,Vehicle Clean - 22.9.25,,,1,,CRINV0014260,,Keep Em Clean,,,04/11/25,,262.50
ENVS - Environmental Services,,CAF - CVMU,,Vehicle clean - 29.9.25,,,1,,CRINV0014261,,Keep Em Clean,,,04/11/25,,262.50
ENVS - Environmental Services,,CAF - CVMU,,Vehicle clean 6.10.25,,,1,,CRINV0014262,,Keep Em Clean,,,04/11/25,,262.50
ENVS - Environmental Services,,CAF - CVMU,,Carry out new coding of injectors,,,1,,CRINV0014263,,Monks Contractors Limited,,,04/11/25,,600.00
