Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Bat ecology,,,1,,CRINV0014473,,Northern Forestry & Arb,,,02/12/2025,,"17,532.00"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency Staff - w/c 27.10.25,,,1,,CRINV0014720,,Oyster Partnership,,,02/12/2025,,"1,283.57"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency Staff - W/c 27.10.25,,,1,,CRINV0014721,,Oyster Partnership,,,02/12/2025,,659.57
ENVS - Environmental Services,,CAF - CVMU,,Parts and Materials,,,1,,CRINV0014727,,Terberg Matec Uk,,,02/12/2025,,405.37
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Urgent tree safety work ,,,1,,CRINV0014751,,Dlc Tree Services,,,02/12/2025,,"1,200.00"
PLAN - Planning & Transportation,,EAD - Planning,,Staff w/c 27/10/25 ,,,1,,CRINV0014774,,Confido Consult Ltd,,,02/12/2025,,"2,385.12"
RESO - Resources,,AAH - Facilities,,Reimbursement for Frailty,,,1,,CRINV0014796,,Hyndburn Homewise Society Limited,,,02/12/2025,,"8,149.70"
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs  12.10.25 - 02.11.25,,,1,,CRINV0014797,,Vivid Resourcing,,,02/12/2025,,"7,106.40"
RESO - Resources,,AAH - Facilities,,Electricity Supply - 01/10/25 to 31/10/25,,,1,,CRINV0014802,,Total Energies - Acc Market Hall - 3009581036,,,02/12/2025,,"2,978.60"
RESO - Resources,,AAE - Residual Leisure,,TaAF Claim April to September 25 Accelerator,,,1,,CRINV0014805,,Hyndburn Leisure,,,02/12/2025,,"84,926.91"
RESO - Resources,,AAH - Facilities,,Knuzden Recreation Ground works,,,1,,CRINV0014840,,Pilkington Bros (Church) Ltd,,,02/12/2025,,"6,925.60"
RESO - Resources,,AAF - Finance,,Period 12/12/2025 - 11/12/2026,,,1,,CRINV0014874,,PHS Group,,,02/12/2025,,"1,231.87"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency staff - w/e 02.11.25 ,,,1,,CRINV0014900,,Venn Group Limited,,,02/12/2025,,"1,209.18"
RESO - Resources,,AAG - Management Resources,,S278 Agreement - Wilsons,,,1,,CRINV0014919,,Lancashire County Council,,,02/12/2025,,570.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,goods and services,,,1,,CRINV0014956,,PHS Group,,,02/12/2025,,731.68
ENVS - Environmental Services,,CAE - Waste Services,,Temp staff w/e 9.11.25 ,,,1,,CRINV0014969,,Rapid Recruitment Ltd,,,02/12/2025,,"1,571.76"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Temp staff w/e 2.11.25 ,,,1,,CRINV0014979,,Proman Supply Chain Ltd,,,02/12/2025,,"1,892.21"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Hire of 8 wheeler 05.11.25,,,1,,CRINV0014993,,Stanley Brothers (Tippers) Ltd,,,02/12/2025,,744.00
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - Week 52 03.11.25-07.11.25 ,,,1,,CRINV0015047,,Confido Consult Ltd,,,02/12/2025,,"1,991.04"
PLAN - Planning & Transportation,,EAA - Building Control,,Agency staff - w/e 21.11.25 ,,,1,,CRINV0015225,,Deekay Tech Recruitment Ltd,,,02/12/2025,,"1,524.67"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Apportioned rent payments,,,1,,CRINV0015274,,Farley Solicitors LLP,,,02/12/2025,,175.00
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Rent deposit,,,2,,CRINV0015274,,Farley Solicitors LLP,,,02/12/2025,,90.00
ENVS - Environmental Services,,CAA - Environmental Maintenance,,"Property Management Fees - Market Chambers, Accrington",,,1,,CRINV0015284,,CBRE Ltd,,,02/12/2025,,"33,750.00"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Final Invoice on Post Completion Work,,,1,,CRINV0015289,,Womble Bond Dickinson (Uk) LLP,,,02/12/2025,,"1,500.00"
PLAN - Planning & Transportation,,EAD - Planning,,Press Notice ,,,1,,CRPOI0014699,,People Scout Limited,,,02/12/2025,,422.21
REGN - Regeneration & Housing,,FAA - Economic Development,,"
Building a website and SEO marketing workshop",,,1,,CRPOI0014749,,ENTERPRISE4ALL,,,02/12/2025,,"1,400.00"
PLAN - Planning & Transportation,,EAD - Planning,,Hyndburn M3 to ASSURE ,,,1,,CRPOI0014757,,Nec Software Solutions Uk Ltd,,,02/12/2025,,"2,700.00"
ENVS - Environmental Services,,CAE - Waste Services,,60 X JPoly & Wire channel brush,,,1,,CRPOI0014766,,Bucher Municipal Ltd,,,02/12/2025,,"3,731.04"
RESO - Resources,,AAH - Facilities,,1 x Cardiac Science Powerheart G5 Battery ,,,1,,CRPOI0014790,,Imperative Training Limited,,,02/12/2025,,326.40
RESO - Resources,,AAH - Facilities,,1 x Cardiac Science Powerheart G5 Adult Defibrillation Pads ,,,2,,CRPOI0014790,,Imperative Training Limited,,,02/12/2025,,79.20
RESO - Resources,,AAH - Facilities,,"Callouts, breakdowns, make safe, small general repairs, helpdesk repairs QTR 3",,,1,,CRPOI0014838,,Pilkington Bros (Church) Ltd,,,02/12/2025,,"1,602.99"
RESO - Resources,,AAH - Facilities,,"Callouts, breakdowns, make safe, small general repairs, helpdesk repairs QTR 3",,,1,,CRPOI0014839,,Pilkington Bros (Church) Ltd,,,02/12/2025,,468.48
RESO - Resources,,AAH - Facilities,,"PPM - Annual Fire Risk Assessment for HBC buildings including office, retail, leisure and Parks",,,1,,CRPOI0014849,,Firesec Compliance Ltd,,,02/12/2025,,308.40
RESO - Resources,,AAH - Facilities,,"PPM - Annual Fire Risk Assessment for HBC buildings including office, retail, leisure and Parks",,,1,,CRPOI0014850,,Firesec Compliance Ltd,,,02/12/2025,,354.00
PLAN - Planning & Transportation,,EAD - Planning,,"To carry out contamination investigations and risk assessment, Brookside, Osw
version 3, 3rd October 2025 and revised RSK proposal Reference 323626TL01 (01) Brookside, Oswaldtwistle dated 8th August 2025",,,1,,CRPOI0014869,,RSK Environment Ltd,,,02/12/2025,,"42,750.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,65 X 10ltrs pails of red spot line marker paint ,,,1,,CRPOI0014888,,Bowcom,,,02/12/2025,,"1,638.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,"Prepare tender documents, maintenance plan, construction phase project management and tender",,,1,,CRPOI0014889,,STRI Ltd,,,02/12/2025,,"1,038.17"
ENVS - Environmental Services,,CAE - Waste Services,,2 X -24 Neat street single action litter picker 33,,,1,,CRPOI0015042,,Landscape Supply Company,,,02/12/2025,,287.42
ENVS - Environmental Services,,CAE - Waste Services,,1 X 24 Sartra PowerPick litter picker ,,,2,,CRPOI0015042,,Landscape Supply Company,,,02/12/2025,,286.56
ENVS - Environmental Services,,CAE - Waste Services,,10 x  Rubber ends for PowerPick litter picker ,,,3,,CRPOI0015042,,Landscape Supply Company,,,02/12/2025,,42.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Database contract ? July 25 to 31st Oct 25,,,1,,CRPOI0015265,,Locata Housing Services Ltd,,,02/12/2025,,"4,125.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs  Period Ending: 09-Nov-2025,,,1,,CRINV0014810,,Vivid Resourcing,,,04/12/2025,,"2,160.00"
